,real_time,static
0,"[(10.466666666666667, 9.954), (12.2, 9.098), (10.85, 8.818), (15.233333333333333, 11.574), (11.633333333333333, 6.874), (7.183333333333334, 4.912), (15.916666666666666, 11.895), (4.066666666666666, 2.474), (8.35, 5.569), (9.983333333333333, 6.53)]","[(10.466666666666667, 9.954), (12.2, 9.098), (10.85, 8.818), (15.233333333333333, 11.574), (11.633333333333333, 6.874), (7.183333333333334, 4.912), (15.933333333333334, 11.895), (4.066666666666666, 2.474), (8.35, 5.569), (10.05, 6.53)]"
1,"[(14.516666666666667, 10.252), (4.25, 1.517), (5.783333333333333, 2.346), (8.85, 3.056), (11.933333333333334, 6.603), (13.45, 7.432), (10.65, 4.942), (4.683333333333334, 1.765), (9.233333333333333, 3.44), (9.666666666666666, 3.39)]","[(14.666666666666666, 10.252), (4.316666666666666, 1.517), (5.85, 2.346), (7.566666666666666, 3.056), (11.8, 6.603), (13.6, 7.682), (10.516666666666667, 4.942), (4.683333333333334, 1.765), (9.233333333333333, 3.44), (9.666666666666666, 3.39)]"
2,"[(16.466666666666665, 8.643), (14.266666666666667, 5.339), (6.45, 1.619), (9.466666666666667, 3.559), (5.866666666666666, 3.123), (8.65, 6.399), (5.4, 4.29), (8.366666666666667, 4.517), (7.233333333333333, 3.71), (3.3833333333333333, 2.204)]","[(14.066666666666666, 8.62), (13.05, 5.339), (5.666666666666667, 1.619), (8.166666666666666, 3.559), (5.516666666666667, 3.123), (7.2, 6.399), (4.416666666666667, 4.29), (9.033333333333333, 4.517), (7.316666666666666, 3.71), (3.1666666666666665, 2.204)]"
3,"[(5.116666666666666, 2.01), (11.516666666666667, 4.063), (23.533333333333335, 7.175), (7.583333333333333, 3.081), (8.216666666666667, 2.808), (19.216666666666665, 4.96), (4.366666666666666, 1.826), (12.966666666666667, 3.209), (7.6, 2.424), (14.883333333333333, 6.635)]","[(5.1, 2.01), (11.316666666666666, 4.063), (23.0, 7.848), (7.633333333333334, 3.081), (8.15, 2.808), (19.683333333333334, 4.96), (4.45, 1.826), (11.233333333333333, 3.209), (7.416666666666667, 2.424), (14.55, 6.635)]"
4,"[(3.816666666666667, 1.506), (5.833333333333333, 2.033), (2.3, 0.902), (4.166666666666667, 1.717), (6.233333333333333, 1.947), (4.416666666666667, 1.58), (7.366666666666666, 2.557), (4.2, 1.52), (4.133333333333334, 1.541), (3.4833333333333334, 1.459)]","[(3.8, 1.506), (5.983333333333333, 2.033), (2.3, 0.902), (4.6, 1.717), (6.35, 1.947), (4.516666666666667, 1.58), (7.816666666666666, 2.557), (4.583333333333333, 1.52), (4.516666666666667, 1.541), (3.5833333333333335, 1.459)]"
5,"[(5.533333333333333, 2.005), (4.233333333333333, 1.223), (6.3, 1.675), (7.8, 5.69), (5.583333333333333, 1.788), (7.35, 2.106), (10.066666666666666, 6.434), (4.116666666666666, 1.393), (9.533333333333333, 6.726), (9.65, 6.454)]","[(5.35, 2.25), (2.6666666666666665, 1.129), (5.766666666666667, 1.675), (8.4, 5.69), (5.7, 1.788), (6.766666666666667, 2.106), (11.366666666666667, 6.434), (3.9, 1.393), (9.083333333333334, 6.726), (10.2, 6.454)]"
6,"[(6.5, 1.561), (4.966666666666667, 1.719), (11.383333333333333, 2.899), (11.3, 4.311), (14.983333333333333, 2.771), (21.133333333333333, 3.969), (21.666666666666668, 5.381), (12.8, 4.328), (10.866666666666667, 4.103), (12.883333333333333, 4.725)]","[(5.816666666666666, 1.561), (4.1, 1.719), (9.916666666666666, 2.899), (9.383333333333333, 4.311), (11.433333333333334, 2.771), (17.533333333333335, 3.969), (17.0, 5.381), (13.616666666666667, 4.328), (10.516666666666667, 4.103), (10.083333333333334, 4.725)]"
7,"[(12.083333333333334, 2.825), (10.283333333333333, 4.597), (5.333333333333333, 1.651), (14.633333333333333, 4.447), (6.833333333333333, 2.191), (9.266666666666667, 1.976), (6.633333333333334, 2.388), (8.8, 2.966), (7.2, 2.653), (15.316666666666666, 3.593)]","[(11.283333333333333, 2.825), (10.05, 4.597), (5.566666666666666, 1.651), (14.466666666666667, 4.502), (5.75, 2.191), (6.5, 1.976), (6.966666666666667, 2.388), (8.233333333333333, 2.966), (6.116666666666666, 2.653), (14.766666666666667, 4.632)]"
8,"[(4.4, 1.812), (4.666666666666667, 1.792), (3.683333333333333, 2.131), (3.7, 1.775), (7.983333333333333, 3.038), (3.0, 1.906), (7.083333333333333, 3.021), (8.016666666666667, 3.214), (4.816666666666666, 1.855), (6.533333333333333, 3.38)]","[(5.033333333333333, 1.812), (4.666666666666667, 1.792), (4.1, 2.131), (4.1, 1.775), (7.933333333333334, 3.038), (2.9166666666666665, 1.906), (7.383333333333334, 3.021), (9.2, 3.214), (4.616666666666666, 1.855), (6.866666666666666, 3.38)]"
9,"[(6.866666666666666, 3.999), (10.233333333333333, 5.598), (3.8, 1.841), (6.766666666666667, 3.074), (6.183333333333334, 3.387), (4.016666666666667, 2.164), (7.166666666666667, 2.842), (9.85, 5.143), (8.033333333333333, 2.346), (3.8666666666666667, 1.445)]","[(6.816666666666666, 3.067), (10.366666666666667, 5.349), (3.8, 1.841), (6.833333333333333, 3.074), (6.583333333333333, 3.387), (3.7, 2.164), (7.066666666666666, 2.842), (10.216666666666667, 5.143), (8.333333333333334, 2.346), (4.4, 1.445)]"
10,"[(8.3, 3.626), (3.3, 1.538), (10.25, 5.024), (8.6, 2.833), (11.016666666666667, 4.574), (8.366666666666667, 4.122), (13.466666666666667, 6.718), (7.966666666666667, 4.223), (11.766666666666667, 4.184), (18.95, 7.538)]","[(8.233333333333333, 3.626), (3.5, 1.538), (9.716666666666667, 5.024), (7.283333333333333, 2.833), (10.6, 4.574), (9.183333333333334, 4.122), (13.05, 6.718), (7.383333333333334, 4.223), (11.433333333333334, 4.184), (17.783333333333335, 7.538)]"
11,"[(3.45, 1.118), (5.116666666666666, 1.784), (6.883333333333334, 2.285), (3.966666666666667, 1.323), (4.966666666666667, 1.614), (6.733333333333333, 2.115), (1.4666666666666666, 0.665), (3.3666666666666667, 1.163), (4.3, 1.649), (6.016666666666667, 2.428)]","[(3.533333333333333, 1.118), (5.2, 1.784), (6.933333333333334, 2.285), (4.416666666666667, 1.323), (5.05, 1.614), (6.783333333333333, 2.115), (2.1333333333333333, 0.665), (3.15, 1.163), (5.066666666666666, 1.649), (6.883333333333334, 2.428)]"
12,"[(5.516666666666667, 2.339), (2.1, 1.067), (7.316666666666666, 3.404), (2.8833333333333333, 1.287), (3.25, 1.493), (3.816666666666667, 1.217), (3.0, 1.255), (6.166666666666667, 2.372), (2.9166666666666665, 1.034), (6.95, 2.183)]","[(5.333333333333333, 2.339), (2.1, 1.067), (8.8, 2.931), (3.25, 1.287), (3.5833333333333335, 1.493), (4.4, 1.217), (3.3833333333333333, 1.255), (6.183333333333334, 2.372), (2.95, 1.034), (7.716666666666667, 2.183)]"
13,"[(5.183333333333334, 2.176), (8.733333333333333, 3.24), (8.583333333333334, 3.524), (15.266666666666667, 6.317), (10.316666666666666, 4.105), (4.2, 1.559), (10.783333333333333, 4.352), (9.2, 3.305), (12.75, 3.592), (9.15, 3.519)]","[(5.133333333333334, 2.176), (8.45, 3.24), (7.916666666666667, 3.524), (14.433333333333334, 6.317), (10.583333333333334, 4.105), (4.066666666666666, 1.559), (10.5, 4.352), (8.5, 3.305), (10.75, 3.592), (9.133333333333333, 3.519)]"
14,"[(5.983333333333333, 1.659), (6.116666666666666, 1.808), (7.333333333333333, 2.051), (9.916666666666666, 2.903), (8.866666666666667, 1.992), (3.0166666666666666, 1.062), (12.683333333333334, 3.087), (13.516666666666667, 4.338), (3.6, 1.38), (16.766666666666666, 3.987)]","[(6.45, 1.659), (6.316666666666666, 1.808), (7.333333333333333, 2.051), (10.05, 2.903), (8.866666666666667, 1.992), (3.283333333333333, 1.062), (12.583333333333334, 3.087), (13.666666666666666, 4.338), (3.4833333333333334, 1.38), (16.833333333333332, 3.987)]"
15,"[(4.5, 2.123), (8.033333333333333, 3.585), (8.95, 2.293), (11.383333333333333, 3.487), (7.6, 2.994), (8.35, 1.702), (10.633333333333333, 2.896), (2.0833333333333335, 1.029), (4.833333333333333, 2.365), (2.433333333333333, 1.366)]","[(4.466666666666667, 2.123), (7.966666666666667, 3.585), (7.416666666666667, 2.293), (10.0, 3.487), (7.616666666666666, 2.994), (7.066666666666666, 1.702), (9.65, 2.896), (2.183333333333333, 1.029), (5.216666666666667, 2.365), (2.85, 1.366)]"
16,"[(5.9, 1.339), (6.516666666666667, 1.532), (8.516666666666667, 2.974), (5.75, 2.202), (8.216666666666667, 1.816), (11.133333333333333, 3.77), (8.25, 2.998), (11.166666666666666, 4.219), (8.283333333333333, 3.447), (5.45, 1.444)]","[(5.25, 1.339), (4.716666666666667, 1.532), (10.45, 2.974), (7.5, 2.202), (8.583333333333334, 1.816), (13.783333333333333, 3.77), (10.85, 2.998), (12.866666666666667, 4.219), (9.933333333333334, 3.447), (5.466666666666667, 1.444)]"
17,"[(5.15, 2.345), (7.816666666666666, 2.686), (11.683333333333334, 4.831), (7.7, 3.222), (10.3, 4.333), (13.333333333333334, 5.916), (6.283333333333333, 3.177), (8.716666666666667, 3.529), (6.4, 2.627), (9.45, 4.297)]","[(5.15, 2.345), (8.366666666666667, 2.686), (11.683333333333334, 4.831), (7.483333333333333, 3.222), (10.766666666666667, 4.333), (13.333333333333334, 5.916), (6.016666666666667, 3.177), (9.05, 3.529), (6.55, 2.627), (9.5, 4.297)]"
18,"[(4.3, 2.332), (4.85, 2.539), (3.716666666666667, 1.282), (8.266666666666667, 3.224), (5.2, 2.093), (9.45, 3.625), (13.05, 4.813), (7.833333333333333, 2.681), (11.483333333333333, 3.869), (6.833333333333333, 2.511)]","[(4.316666666666666, 2.332), (4.983333333333333, 2.539), (3.716666666666667, 1.282), (8.433333333333334, 3.224), (5.333333333333333, 2.093), (9.316666666666666, 3.625), (12.866666666666667, 4.813), (7.633333333333334, 2.681), (11.183333333333334, 3.869), (6.833333333333333, 2.511)]"
19,"[(6.516666666666667, 3.597), (5.55, 1.655), (5.95, 1.975), (7.333333333333333, 2.54), (11.116666666666667, 6.088), (8.883333333333333, 5.877), (11.933333333333334, 6.886), (11.066666666666666, 4.468), (13.833333333333334, 3.823), (6.783333333333333, 2.545)]","[(6.516666666666667, 3.597), (5.55, 1.655), (5.95, 1.975), (8.733333333333333, 2.54), (11.283333333333333, 6.088), (8.8, 5.877), (12.533333333333333, 6.886), (11.066666666666666, 4.468), (14.2, 3.823), (8.466666666666667, 2.545)]"
20,"[(10.616666666666667, 4.946), (12.75, 5.175), (7.8, 3.583), (11.35, 4.288), (5.15, 2.938), (10.466666666666667, 4.954), (3.7666666666666666, 2.051), (15.383333333333333, 6.522), (9.1, 4.076), (14.383333333333333, 5.067)]","[(10.016666666666667, 4.946), (12.216666666666667, 5.175), (8.216666666666667, 3.583), (10.833333333333334, 4.288), (5.2, 2.938), (10.616666666666667, 4.954), (3.816666666666667, 2.051), (14.883333333333333, 6.522), (9.1, 4.076), (13.216666666666667, 5.067)]"
21,"[(3.35, 2.173), (2.216666666666667, 1.216), (4.733333333333333, 3.407), (7.266666666666667, 1.516), (1.95, 1.129), (1.25, 1.233), (9.883333333333333, 3.484), (2.8833333333333333, 2.365), (8.333333333333334, 2.604), (12.833333333333334, 4.773)]","[(2.1666666666666665, 2.173), (1.3, 1.216), (3.433333333333333, 3.407), (5.383333333333334, 1.516), (1.2166666666666666, 1.129), (1.25, 1.233), (9.433333333333334, 3.484), (2.3833333333333333, 2.365), (7.5, 2.536), (12.25, 4.773)]"
